,Country Name,Country Code,Series Name,Series Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
0,Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,0,0,0,0,..,..,..,..,..,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,7,8.26,11,13.5,16.8,17.6,18.4,..
1,Afghanistan,AFG,Secure Internet servers,IT.NET.SECR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,16,38,46,57,74,426,1577,1965,1047,1362,..
2,Afghanistan,AFG,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.479690076353297,0.531254163912031,1.21945826657602,1.42549059808379,1.70807991320796,2.15031247963196,12.0396705448725,43.4481809910709,52.8624804496254,27.5223880957969,34.9873630628133,..
3,Afghanistan,AFG,Mobile cellular subscriptions,IT.CEL.SETS,0,0,0,0,0,0,0,0,0,0,0,25000,200000,600000,1200000,2520366,4668096,7898909,10500000,10215840,13797879,15340115,16807156,18407168,19709038,21602982,23929713,21976355,22580071,22678024,..
4,Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,0,0,0,0,0,0,0,0,0,0,0.1106157,0.84456353,2.426528361,4.677582611,9.534904581,17.22510581,28.49300324,36.97858479,35.00312672,45.81362616,49.22797697,52.08357627,55.15951463,57.27106807,61.05463771,65.92913406,59.12084823,59.3560197,58.25581184,..
5,Afghanistan,AFG,Fixed broadband subscriptions,IT.NET.BBND,..,..,..,..,..,..,..,..,..,..,..,..,..,200,220,500,500,500,1000,1500,..,1500,1500,1500,7067,8801,9182,15999,19683,26570,..
6,Afghanistan,AFG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,..,..,..,..,..,..,..,..,..,..,..,..,..,0.000808843,0.000857557,0.001891571,0.001844982,0.001803604,0.00352177,0.005139537,..,0.004813651,0.004648339,0.004494948,0.020535484,0.024873504,0.025297475,0.043040552,0.051740516,0.068253606,..
7,Afghanistan,AFG,Fixed telephone subscriptions,IT.MLT.MAIN,37000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,33050,36700,..,..,..,..,..,5130,16620,13509,90017,95769,101931,110000,114192,118769,127794,134636,145787,..
8,Afghanistan,AFG,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,0.278216052,0.200199564,0.183351634,0.169831715,0.160126714,0.153818108,0.149815629,0.146926463,0.143771872,0.139557582,0.134215838,0.146233956,0.154977408,..,..,..,..,..,0.01806668,0.056946073,0.04485445,0.288873636,0.296777873,0.305449729,0.319641044,0.322730963,0.327222367,0.343791756,0.353916384,0.374500884,..
9,Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,0,0,0,0.011168695,0.032196828,0.048593919,0.06502737,0.081437045,0.114097347,0.325798377,0.390081273,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45,47,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.55039112,72.24,..
10,Albania,ALB,Secure Internet servers,IT.NET.SECR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,24,74,103,151,197,416,1273,1508,2190,2511,..
11,Albania,ALB,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.11943477235488,8.26106337096133,25.5137134485887,35.5774531517479,52.2653390116797,68.3860849244091,144.640261242564,443.020375805171,526.099855706299,767.292728482432,884.825091116546,..
12,Albania,ALB,Mobile cellular subscriptions,IT.CEL.SETS,0,0,0,0,0,2300,3300,5600,11008,29791,392650,851000,1100000,1259590,1530244,1909885,2322436,1859632,2463741,2692372,3100000,3500000,3685983,3359654,3400955,3369756,3625699,2714878,2630076,2618880,..
13,Albania,ALB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,0,0,0,0,0.074224675,0.10646013,0.180024831,0.35251579,0.952019386,12.54591489,27.22166012,35.27876478,40.56791669,49.57363751,62.35298419,76.54705112,61.9324483,82.86919686,91.32805273,105.852915,120.1058579,126.9369686,115.9979353,117.6592183,116.7444442,125.7103519,94.17699827,91.29301538,91.00294427,..
14,Albania,ALB,Fixed broadband subscriptions,IT.NET.BBND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,272,272,10000,64000,92000,105539,128210,160088,182556,207964,242870,266379,303612,361947,436192,508937,..
