,country,lon,lat,iso_con
0,Afghanistan,66.2385139,33.7680065,AFG
1,Albania,19.9999619,41.000028,ALB
2,Algeria,2.9999825,28.0000272,DZA
3,American Samoa,-170.692511,-14.289304,ASM
4,Andorra,1.5732033,42.5407167,AND
5,Angola,17.5691241,-11.8775768,AGO
6,Anguilla,-63.0750234,18.1954947,AIA
7,Antigua and Barbuda,-61.9554608,17.2234721,ATG
8,Argentina,-64.9672817,-34.9964963,ARG
9,Armenia,44.6736646,40.7696272,ARM
10,Aruba,-69.9609842,12.4902998,ABW
11,Australia,134.755,-24.7761086,AUS
12,Austria,14.12456,47.59397,AUT
13,Azerbaijan,47.7872508,40.3936294,AZE
14,Bahamas,-78.0000547,24.7736546,BHS
15,Bahrain,50.5344606,26.1551249,BHR
16,Bangladesh,90.00386524,23.5031022,BGD
17,Barbados,-59.5250305,13.1500331,BRB
18,Belarus,27.6971358,53.4250605,BLR
19,Belgium,4.6667145,50.6402809,BEL
20,Belize,-88.7600927,16.8259793,BLZ
21,Benin,2.2584408,9.5293472,BEN
22,Bermuda,-64.7603583,32.3018217,BMU
23,Bhutan,90.5119273,27.549511,BTN
24,"Bolivia, Plurinational State of",-64.9912286,-17.0568696,BOL
25,"Bonaire, Sint Eustatius and Saba",,,BES
26,Bosnia and Herzegovina,17.5961467,44.3053476,BIH
27,Botswana,24.5928742,-23.1681782,BWA
28,Bouvet Island,3.359973295,-54.4201305,BVT
29,Brazil,-53.2,-10.3333333,BRA
30,British Indian Ocean Territory,72.00648804,-5.34962665,IOT
31,Brunei Darussalam,114.5653908,4.4137155,BRN
32,Bulgaria,25.4856617,42.6073975,BGR
33,Burkina Faso,-1.6880314,12.0753083,BFA
34,Burundi,29.932395,-3.4264997,BDI
35,Cabo Verde,-24.0083947,16.0000552,CPV
36,Cambodia,104.869423,13.5066394,KHM
37,Cameroon,13.1535811,4.6125522,CMR
38,Canada,-107.991707,61.0666922,CAN
39,Cayman Islands,-79.91746272,19.70318225,CYM
40,Central African Republic,19.9981227,7.0323598,CAF
41,Chad,19.0156172,15.6134137,TCD
42,Chile,-71.3187697,-31.7613365,CHL
43,China,104.999927,35.000074,CHN
44,Christmas Island,105.6173515,-10.49124145,CXR
45,Cocos (Keeling) Islands,96.8409375,-12.0728315,CCK
46,Colombia,-72.9088133,4.099917,COL
47,Comoros,44.2832964,-12.2045176,COM
48,Congo,15.6419155,-0.7264327,COG
49,"Congo, The Democratic Republic of the",23.573277,-6.1240547,COD
50,Cook Islands,-157.9753369,-19.9196729,COK
51,Costa Rica,-84.0739102,10.2735633,CRI
52,Croatia,17.0118954,45.5643442,HRV
53,Cuba,-80.8328748,23.0131338,CUB
54,Curacao,-68.9309263,12.1176488,CUW
55,Cyprus,33.1451285,34.9823018,CYP
56,Czechia,15.4749544,49.8167003,CZE
57,Côte d'Ivoire,-5.5679458,7.9897371,CIV
58,Denmark,10.3333283,55.670249,DNK
59,Djibouti,42.8453061,11.8145966,DJI
60,Dominica,-70.3028026,19.0974031,DMA
61,Dominican Republic,-70.3028026,19.0974031,DOM
62,Ecuador,-79.3666965,-1.3397668,ECU
63,Egypt,29.2675469,26.2540493,EGY
64,El Salvador,-88.9140683,13.8000382,SLV
65,Equatorial Guinea,10.5170357,1.613172,GNQ
66,Eritrea,37.9999668,15.9500319,ERI
67,Estonia,25.3319078,58.7523778,EST
68,Eswatini,31.3991317,-26.5624806,SWZ
69,Ethiopia,38.6521203,10.2116702,ETH
70,Falkland Islands (Malvinas),-59.5500387,-51.9666424,FLK
71,Faroe Islands,-7.0322972,62.0448724,FRO
72,Fiji,179.0122737,-18.1239696,FJI
73,Finland,25.9209164,63.2467777,FIN
74,France,1.8883335,46.603354,FRA
75,French Guiana,-52.999998,4.0039882,GUF
76,French Polynesia,-146.0490931,-16.03442485,PYF
77,French Southern Territories,69.62275904,-49.23744195,ATF
78,Gabon,11.6899699,-0.8999695,GAB
79,Gambia,-15.4900464,13.470062,GMB
80,Georgia,-83.1137366,32.3293809,GEO
81,Germany,10.4234469,51.0834196,DEU
82,Ghana,-1.0800271,8.0300284,GHA
83,Gibraltar,-5.3541295,36.140807,GIB
84,Greece,21.9877132,38.9953683,GRC
85,Greenland,-42.8125967,77.6192349,GRL
86,Grenada,-61.6904045,12.1360374,GRD
87,Guadeloupe,-61.5650444,16.2490067,FRA
88,Guam,144.757551,13.4501257,GUM
89,Guatemala,-90.12265453,15.6871007,GTM
90,Guernsey,-2.5822348,49.4566233,GGY
91,Guinea,-10.7083587,10.7226226,GIN
92,Guinea-Bissau,-14.9000214,12.100035,GNB
93,Guyana,-58.6416891,4.8417097,GUY
94,Haiti,-72.3570972,19.1399952,HTI
95,Heard Island and McDonald Islands,72.955751,-53.0166353,HMD
96,Holy See (Vatican City State),12.45332,41.90236,VAT
97,Honduras,-86.0755145,15.2572432,HND
98,Hong Kong,114.1628131,22.2793278,HKG
99,Hungary,19.5060937,47.1817585,HUN
100,Iceland,-18.1059013,64.9841821,ISL
101,India,78.6677428,22.3511148,IND
102,Indonesia,117.8902853,-2.4833826,IDN
103,"Iran, Islamic Republic of",59.5999861,36.2665119,IRN
104,Iraq,44.1749775,33.0955793,IRQ
105,Ireland,-7.9794599,52.865196,IRL
106,Isle of Man,-4.5591148,54.1936805,IMN
107,Israel,34.8667654,31.5313113,ISR
108,Italy,12.674297,42.6384261,ITA
109,Jamaica,-77.3947693,18.1850507,JAM
110,Japan,139.2394179,36.5748441,JPN
111,Jersey,-2.1358386,49.2214561,JEY
112,Jordan,36.941628,31.1667049,JOR
113,Kazakhstan,65.2093197,47.2286086,KAZ
114,Kenya,38.4313975,1.4419683,KEN
115,Kiribati,173.6641773,0.3448612,KIR
116,"Korea, Democratic People's Republic of",127.0087307,38.23368665,PRK
117,"Korea, Republic of",49.132971,55.8215537,KOR
118,Kosovo,20.89041619,42.56230959,XKX
119,Kuwait,47.4979476,29.2733964,KWT
120,Kyrgyzstan,74.724091,41.5089324,KGZ
121,Lao People's Democratic Republic,103.378253,20.0171109,LAO
122,Latvia,24.7537645,56.8406494,LVA
123,Lebanon,35.843409,33.8750629,LBN
124,Lesotho,28.3350193,-29.6039267,LSO
125,Liberia,-9.3658524,5.7499721,LBR
126,Libya,18.1236723,26.8234472,LBY
127,Liechtenstein,9.5531527,47.1416307,LIE
128,Lithuania,23.7499997,55.3500003,LTU
129,Luxembourg,6.1296751,49.8158683,LUX
130,Macao,113.5514142,22.1757605,MAC
131,Madagascar,46.4416422,-18.9249604,MDG
132,Malawi,33.9301963,-13.2687204,MWI
133,Malaysia,102.2656823,4.5693754,MYS
134,Maldives,73.3287853,4.7064352,MDV
135,Mali,-2.2900239,16.3700359,MLI
136,Malta,14.4476911,35.8885993,MLT
137,Marshall Islands,168.0002575,8.9995549,MHL
138,Martinique,-61.01582685,14.6367927,FRA
139,Mauritania,-9.2399263,20.2540382,MRT
140,Mauritius,57.5703566,-20.2759451,MUS
141,Mayotte,45.1520755,-12.823048,FRA
142,Mexico,-102.0077097,23.6585116,MEX
143,"Moldova, Republic of",29.7521996,46.6745434,MDA
144,Monaco,7.424224093,43.73844905,MCO
145,Mongolia,103.8499736,46.8250388,MNG
146,Montenegro,19.5180992,42.9868853,MNE
147,Montserrat,-62.1916844,16.7417041,MSR
148,Morocco,-7.3362482,31.1728205,MAR
149,Mozambique,34.9144977,-19.302233,MOZ
150,Myanmar,95.9999652,17.1750495,MMR
151,Namibia,18.4861655,-22.965662,NAM
152,Nauru,166.9347923,-0.5275,NRU
153,Nepal,84.0917139,28.1083929,NPL
154,Netherlands,5.38721,52.15517,NLD
155,New Caledonia,165.4880773,-21.3019905,NCL
156,New Zealand,172.8344077,-41.5000831,NZL
157,Nicaragua,-85.2936911,12.6090157,NIC
158,Niger,9.3238432,17.7356214,NER
159,Nigeria,7.9999721,9.6000359,NGA
160,Niue,-169.861341,-19.0536414,NIU
161,Norfolk Island,167.9587289,-29.0289575,NFK
162,North Macedonia,21.7168387,41.6171214,MKD
163,Northern Mariana Islands,145.2134525,14.1490205,MNP
164,Norway,9.0999715,60.5000209,NOR
165,Oman,57.0036901,21.0000287,OMN
166,Pakistan,71.247499,30.3308401,PAK
167,Palau,132.9102573,5.3783537,PLW
168,"Palestine, State of",-79.4683738,42.2088336,PSE
169,Panama,-81.1308434,8.559559,PAN
170,Papua New Guinea,144.2489081,-5.6816069,PNG
171,Paraguay,-58.1693445,-23.3165935,PRY
172,Peru,-75.0458515,-6.8699697,PER
173,Philippines,122.7312101,12.7503486,PHL
174,Pitcairn,-130.101782,-25.0657719,PCN
175,Poland,19.134422,52.215933,POL
176,Portugal,-7.8896263,40.0332629,PRT
177,Puerto Rico,-66.26152219,18.19897685,PRI
178,Qatar,51.2295295,25.3336984,QAT
179,Romania,24.6859225,45.9852129,ROU
180,Russian Federation,97.7453061,64.6863136,RUS
181,Rwanda,30.0644358,-1.9646631,RWA
182,Réunion,55.53648011,-21.13073795,REU
183,Saint Barthélemy,-62.81156884,17.9036287,BLM
184,"Saint Helena, Ascension and Tristan da Cunha",-5.702575638,-15.96545515,SHN
185,Saint Kitts and Nevis,-62.6725973,17.250512,KNA
186,Saint Lucia,-60.975036,13.8250489,LCA
187,Saint Martin (French part),-63.0512921,18.085493,MAF
188,Saint Pierre and Miquelon,-56.19515891,46.7832469,SPM
189,Saint Vincent and the Grenadines,-61.2765569,12.90447,VCT
190,Samoa,-172.12005,-13.7693895,WSM
191,San Marino,12.458306,43.9458623,SMR
192,Sao Tome and Principe,6.9648718,0.8875498,STP
193,Saudi Arabia,42.3528328,25.6242618,SAU
194,Senegal,-14.4529612,14.4750607,SEN
195,Serbia,20.55144,44.1534121,SRB
196,Seychelles,55.4540146,-4.6574977,SYC
