Country Name,Country Code,Series Name,Series Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,0,0,0,0,..,..,..,..,..,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,7,8.26,11,13.5,16.8,17.6,18.4
Afghanistan,AFG,Secure Internet servers,IT.NET.SECR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,16,38,46,57,74,426,1577,1965,1047,1362
Afghanistan,AFG,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.479690076,0.531254164,1.219458267,1.425490598,1.708079913,2.15031248,12.03967054,43.44818099,52.86248045,27.5223881,34.98736306
Afghanistan,AFG,Mobile cellular subscriptions,IT.CEL.SETS,0,0,0,0,0,0,0,0,0,0,0,25000,200000,600000,1200000,2520366,4668096,7898909,10500000,10215840,13797879,15340115,16807156,18407168,19709038,21602982,23929713,21976355,22580071,22678024
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,0,0,0,0,0,0,0,0,0,0,0.1106157,0.84456353,2.426528361,4.677582611,9.534904581,17.22510581,28.49300324,36.97858479,35.00312672,45.81362616,49.22797697,52.08357627,55.15951463,57.27106807,61.05463771,65.92913406,59.12084823,59.3560197,58.25581184
Afghanistan,AFG,Fixed broadband subscriptions,IT.NET.BBND,..,..,..,..,..,..,..,..,..,..,..,..,..,200,220,500,500,500,1000,1500,..,1500,1500,1500,7067,8801,9182,15999,19683,26570
Afghanistan,AFG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,..,..,..,..,..,..,..,..,..,..,..,..,..,0.000808843,0.000857557,0.001891571,0.001844982,0.001803604,0.00352177,0.005139537,..,0.004813651,0.004648339,0.004494948,0.020535484,0.024873504,0.025297475,0.043040552,0.051740516,0.068253606
Afghanistan,AFG,Fixed telephone subscriptions,IT.MLT.MAIN,37000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,33050,36700,..,..,..,..,..,5130,16620,13509,90017,95769,101931,110000,114192,118769,127794,134636,145787
Afghanistan,AFG,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,0.278216052,0.200199564,0.183351634,0.169831715,0.160126714,0.153818108,0.149815629,0.146926463,0.143771872,0.139557582,0.134215838,0.146233956,0.154977408,..,..,..,..,..,0.01806668,0.056946073,0.04485445,0.288873636,0.296777873,0.305449729,0.319641044,0.322730963,0.327222367,0.343791756,0.353916384,0.374500884
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,0,0,0,0.011168695,0.032196828,0.048593919,0.06502737,0.081437045,0.114097347,0.325798377,0.390081273,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45,47,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.55039112,72.24
Albania,ALB,Secure Internet servers,IT.NET.SECR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,24,74,103,151,197,416,1273,1508,2190,2511
Albania,ALB,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.119434772,8.261063371,25.51371345,35.57745315,52.26533901,68.38608492,144.6402612,443.0203758,526.0998557,767.2927285,884.8250911
Albania,ALB,Mobile cellular subscriptions,IT.CEL.SETS,0,0,0,0,0,2300,3300,5600,11008,29791,392650,851000,1100000,1259590,1530244,1909885,2322436,1859632,2463741,2692372,3100000,3500000,3685983,3359654,3400955,3369756,3625699,2714878,2630076,2618880
Albania,ALB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,0,0,0,0,0.074224675,0.10646013,0.180024831,0.35251579,0.952019386,12.54591489,27.22166012,35.27876478,40.56791669,49.57363751,62.35298419,76.54705112,61.9324483,82.86919686,91.32805273,105.852915,120.1058579,126.9369686,115.9979353,117.6592183,116.7444442,125.7103519,94.17699827,91.29301538,91.00294427
Albania,ALB,Fixed broadband subscriptions,IT.NET.BBND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,272,272,10000,64000,92000,105539,128210,160088,182556,207964,242870,266379,303612,361947,436192,508937
Albania,ALB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.008811686,..,0.329598108,2.131430676,3.094467361,3.579992422,4.377871687,5.493573307,6.286818262,7.180321133,8.402314745,9.228640975,10.52684499,12.55565885,15.1407347,17.68495137
Albania,ALB,Fixed telephone subscriptions,IT.MLT.MAIN,41500,44848,43000,41500,42150,63850,86800,115675,140392,152687,197496,220000,255000,274557,278973,256000,300000,343591,363000,333066,338844,312000,281200,235734,226718,248640,246720,248631,242859,223469
Albania,ALB,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,1.265091551,1.381687465,1.345769074,1.318917826,1.354027195,2.060541517,2.800224018,3.718637906,4.495857267,4.879359002,6.310373122,7.037326942,8.178259108,8.842723032,9.037582488,8.357761831,9.887943235,11.44281871,12.20969187,11.29794442,11.57020165,10.70657933,9.683895874,8.139128994,7.843521202,8.614077281,8.554283747,8.62481528,8.429920057,7.765280178
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,0,0,0.000360674,0.001768954,0.001738533,0.010268463,0.020238555,0.199523843,0.491705679,0.646114017,1.59164126,2.195359731,4.634475088,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.94552688,47.69105515,49.03846808,57.9,62.9
Algeria,DZA,Secure Internet servers,IT.NET.SECR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,18,46,68,94,152,309,2621,2855,2154,2106
Algeria,DZA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.361337439,0.490979105,1.230476254,1.782898776,2.414981849,3.826014989,7.619959243,63.32573827,67.60850484,50.03129395,48.02622369
Algeria,DZA,Mobile cellular subscriptions,IT.CEL.SETS,4781,4781,4781,1348,4691,11700,17400,18000,72000,86000,100000,450244,1446927,4882414,13661355,20997954,27562721,27031472,32729824,32780165,35615926,37527703,39517045,43298174,43227643,47041321,45845665,47154264,45425533,45555673
Algeria,DZA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.01810952,0.01768885,0.017300202,0.004777808,0.016312105,0.039977578,0.058501201,0.059616953,0.235114278,0.277041908,0.317949718,1.41341221,4.484626702,14.93450892,41.2110671,62.41774249,80.67065762,77.83184216,92.63014159,91.11307345,97.14817842,100.384679,103.6101395,111.2386102,108.8089403,116.0042077,110.7672465,111.6647921,105.510594,103.8873168
Algeria,DZA,Fixed broadband subscriptions,IT.NET.BBND,..,..,..,..,..,..,..,..,..,..,..,..,18000,36000,135000,170000,287039,485000,818000,900000,980752,1154748,1280000,1599692,2269348,2859567,3210267,3067022,3582739,3790459
Algeria,DZA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,..,..,..,..,..,..,..,..,..,..,..,..,0.055789463,0.110118134,0.40724321,0.505335721,0.840106639,1.39646274,2.315058456,2.501566606,2.675159149,3.08889162,3.35604493,4.109815688,5.712209454,7.051711073,7.756293558,7.262935415,8.321683753,8.643942434
Algeria,DZA,Fixed telephone subscriptions,IT.MLT.MAIN,883120,962247,1068094,1122409,1176316,1278142,1400343,1477000,1600000,1761327,1880000,1950000,2079464,2486720,2572000,2841297,3068409,3069140,2576165,2922731,3059336,3289363,3132829,3098787,3267592,3404709,4100982,4200919,4635217,4784306
Algeria,DZA,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,3.345090822,3.560142792,3.864932497,3.978230633,4.090426297,4.367266837,4.708146417,4.891902209,5.224761739,5.673969674,5.977454694,6.121467046,6.445121129,7.606471312,7.758737297,8.445934518,8.980629012,8.836988975,7.29092001,8.123784742,8.344832016,8.798877164,8.213996003,7.961184669,8.224904208,8.396034839,9.90834104,9.948087553,10.76629082,10.91035826
American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Secure Internet servers,IT.NET.SECR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,1,1,0,24,1,10,55,25,19,12
American Samoa,ASM,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.49119178,17.93561116,17.9633189,0,430.1769103,17.91922016,179.4075961,988.9062697,450.7672058,343.50593,217.4031197
American Samoa,ASM,Mobile cellular subscriptions,IT.CEL.SETS,0,700,900,1200,1250,1300,1400,1500,1800,1992,2156,2036,2100,2250,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,1.40291807,1.764014112,2.30348402,2.351347793,2.398037299,2.53526738,2.670417119,3.154961176,3.445115097,3.685848121,3.446174678,3.529174509,3.770044068,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Fixed broadband subscriptions,IT.NET.BBND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Fixed telephone subscriptions,IT.MLT.MAIN,5500,6000,8000,9500,9800,10000,10100,10200,10200,10252,12587,14053,10713,10354,10400,10400,10400,10400,10400,10400,..,10000,10000,9900,10000,..,..,..,10000,10000
American Samoa,ASM,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,11.2971141,12.02501203,15.68012544,18.23591516,18.43456669,18.44644076,18.29014324,18.15883641,17.87811333,17.73058231,21.51844634,23.78639133,18.00383168,17.34890501,17.46079715,17.59520869,17.81889831,18.08947332,18.34765274,18.5452665,..,17.96396429,17.94913216,17.74479755,17.91729377,..,..,..,18.07925947,18.1188962
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,0,0,0,0,1.526601023,3.050175385,6.886209218,7.635686143,10.53883561,..,11.26046872,13.54641288,26.83795439,37.60576622,48.936847,70.87,70.04,78.53,81,81,82.7,84.4,86.1,87.9,89.7,91.56746703,..,..,..
Andorra,AND,Secure Internet servers,IT.NET.SECR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58,79,92,79,87,158,219,263,400,1557,751
Andorra,AND,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,686.7643925,943.3061088,1116.139129,978.085923,1098.304571,2025.82283,2833.30099,3415.717495,5194.265531,20182.51108,9719.795509
Andorra,AND,Mobile cellular subscriptions,IT.CEL.SETS,0,770,780,784,2825,5488,8618,14117,20600,23543,29429,32790,51893,58366,64560,69004,63503,64202,64549,65495,65044,63865,63931,66241,71336,76132,80337,82614,87909,94000
Andorra,AND,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,1.307566907,1.279296715,1.250857571,4.424432263,8.527035426,13.39717382,22.00898008,32.00248563,36.00397614,43.70145973,46.81009008,70.90951327,76.5515975,81.8593328,85.1974862,76.80204151,76.55672414,76.42281236,77.5556845,77.66725972,77.48067987,79.14799317,83.62390012,91.44351438,98.49282637,104.3324113,107.2825494,113.9573773,121.6592247
Andorra,AND,Fixed broadband subscriptions,IT.NET.BBND,..,..,..,..,..,..,..,..,..,..,..,1148,3601,6282,10341,14616,18526,20672,22941,24502,25763,26905,27734,28770,30694,32490,34284,35663,36358,37000
Andorra,AND,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,..,..,..,..,..,..,..,..,..,..,..,1.638852803,4.920608893,8.239336866,13.11194796,18.04600398,22.40578588,24.65002027,27.16100541,29.01396109,30.762893,32.64100355,34.33530592,36.31979599,39.34573329,42.03267915,44.52409709,46.31197569,47.13126442,47.88714166
Andorra,AND,Fixed telephone subscriptions,IT.MLT.MAIN,23416,25302,26760,28362,29795,30964,31980,32946,33607,34215,34505,34922,35171,35040,35444,36507,37153,37375,37882,38171,38401,38320,38572,38237,38850,38694,38411,39375,39657,40000
Andorra,AND,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,41.31919324,42.96630893,43.88971806,45.25104903,46.66405638,48.11062772,49.71473876,51.36416077,52.20910362,52.32451445,51.23921534,49.85367386,48.05963215,45.95771471,44.94148376,45.07426568,44.93372357,44.56726527,44.85040787,45.20006158,45.85358281,46.48962112,47.75298982,48.27111711,49.80066914,50.05886386,49.88376774,51.1323793,51.40779342,51.76988287
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,0,0,0,0,0.000775929,0.005673746,0.018453724,0.071964087,0.105045562,0.136013867,0.270376746,0.370682065,0.464814618,1.143366827,1.5,1.7,1.9,2.3,2.8,4.7,7.7,13,21.4,22,23.2,26,29,32.4,36
Angola,AGO,Secure Internet servers,IT.NET.SECR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30,45,80,119,160,227,240,322,345,469,660
Angola,AGO,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.284452935,1.857917992,3.18624498,4.574145867,5.938733134,8.140758374,8.321059193,10.79929217,11.19774051,14.73670365,20.08137949
Angola,AGO,Mobile cellular subscriptions,IT.CEL.SETS,0,0,1100,1824,1994,3298,7052,9820,24000,25806,75000,140000,350000,740000,1611118,3054620,4961536,6773356,8109421,9403365,12073218,12785109,13285198,14052558,13884532,13001124,13323952,13288421,14830154,14645050
Angola,AGO,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,0,0.00841297,0.013507362,0.014298821,0.022901634,0.047419338,0.063933952,0.151258575,0.157397106,0.442588771,0.799113349,1.931409682,3.944952979,8.290372521,15.15947895,23.73331666,31.21990351,36.01900945,40.26060095,49.84677338,50.92059955,51.06592034,52.15898327,49.79322295,45.07629005,44.68610714,43.13051888,46.59863797,44.55951073
Angola,AGO,Fixed broadband subscriptions,IT.NET.BBND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7458,11700,15942,15000,15000,15817,20512,22282,87750,153571,84724,96919,109561,119068,230610
Angola,AGO,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.037012589,0.0559665,0.073480222,0.066624379,0.064222649,0.06530375,0.081695302,0.085648015,0.325702323,0.550742009,0.293747187,0.325048666,0.355604536,0.374130075,0.70166157
